screen_name,has_profile,has_raw_tweet,has_temporal,has_graph
Ted_homan1361,True,True,True,True
methefighter,True,False,True,False
mazot_soz,True,False,True,True
PiroziVata21495,True,False,True,False
HegeI_javan,True,True,True,True
Sararamste,True,False,True,False
IrandokhtI35158,True,False,True,False
Iranmehr_Ali,True,False,True,False
Aryan_phoenix,True,True,True,False
ngh2017,True,False,True,False
Giti544,True,True,True,False
Tina4Humanity,True,False,True,False
jananpanah,True,False,True,False
Toyertoys5,True,False,True,False
y_sfary,True,False,True,False
LucreciaAldao,True,False,True,False
nininilii,True,False,True,False
LiberalArtist00,True,True,True,False
AjabaHaghighat,True,False,True,False
anahitam20_,True,False,True,False
Aryamehr470593,True,False,True,False
MehrdadBei8283,True,False,True,False
WarriorKampfer,True,False,True,False
ghaseda82044726,True,False,True,False
saidesfani,True,False,True,False
mahii_to,True,True,True,False
pwr_aly,True,False,True,False
MrXYZ1111,True,False,True,False
lfamily16606233,True,False,True,False
Khorshidqueen,True,False,True,False
ANITABAKT,True,True,True,False
sedayeazadd,True,False,True,True
InstaLebanon,True,False,True,False
sarbaziraaannnn,True,False,True,False
JerusalemDiary,True,False,True,False
Amir60604040,True,False,True,True
tahlilgar1234,True,False,True,False
Elsehuesid,True,False,True,False
Revolution_R_,True,True,True,True
Chobin_pahlavi,True,True,True,False
bahar48762107,True,False,True,False
____ROHI____,True,True,True,False
GhorbaniiNiyak,True,True,True,True
azarmahbanoo,True,False,True,False
BJavidaziz3539,True,False,True,False
mehraryaei1,True,False,True,False
Farfariiid,True,False,True,False
Shane4Iran,True,False,True,True
Tasnimnews_Fa,True,True,True,True
ShahabHolland,True,False,True,False
tavossiya,True,False,True,False
SamanthaIrani,True,True,True,True
mozhtaba2024,True,False,True,False
bahram582228,True,False,True,False
toobi2120,True,False,True,False
BirdTiko6641,True,False,True,True
tanhatak5112,True,True,True,True
PaiandeBadIran,True,False,True,False
Me_Unstoppable2,True,True,True,False
bacara_brave9_0,True,False,True,False
Aryammehr_2,True,True,True,False
Kolmar_kolmar,True,True,True,True
121_mitra,True,False,True,True
MakroTreder,True,False,True,False
25jeeves,True,False,True,False
A3mooon13,True,False,True,False
nanamirr,True,False,True,False
payande_iran3,True,False,True,False
MFarvardin4,True,False,True,False
Artemizshahdokh,True,True,True,False
Ahoodad1985,True,False,True,False
Arjialone,True,False,True,False
happy68vibes,True,False,True,False
Esmaeil2021ma,True,False,True,False
nika_shakaramii,True,False,True,False
LBbauhari,True,False,True,False
AhoraMazda01,True,False,True,False
Tanha_5566,True,True,True,True
Nass0070,True,False,True,False
ValiantPersian,True,False,True,False
daschiakol,True,False,True,False
_Franchi__,True,False,True,False
mi_li1an251l5,True,False,True,False
kh_milad46,True,False,True,True
locifer_A,True,False,True,False
krishnakamal077,True,False,True,False
bahar272130,True,False,True,False
IranMan58042,True,False,True,False
iran_javid72,True,False,True,False
Sanam_Iran,True,False,True,False
Parvaneh125377,True,False,True,False
Utab49,True,False,True,True
mktanha1,True,False,True,False
bahmane_m,True,False,True,False
Y_s_s_m_2020,True,False,True,True
annagha1380,True,False,True,False
Pishigirl1,True,False,True,False
HAXTAX0,True,True,True,False
IranAzad54321,True,False,True,True
aminkhss,True,True,True,False
hasanakevazir1,True,True,True,True
Arashhero3,True,False,True,False
persepolis_1963,True,False,True,False
Lionel46614583,True,False,True,False
IRAnahita,True,False,True,False
Dieba974973192,True,False,True,False
msnmyry32,True,False,True,False
Tondar_Iran2500,True,False,True,False
foladabdideh,True,False,True,False
Raha82702571,True,False,True,False
HNNM230563,True,False,True,False
atheistcyrus,True,True,True,True
Ilya69328005,True,False,True,False
arash_tehran,True,True,True,False
shadi232023,True,False,True,False
i24NEWS_HE,True,False,True,False
gkhsoulmate,True,False,True,False
arya_lon89,True,False,True,True
pane2022,True,False,True,False
subzero5mas,True,False,True,False
IMbeatreas,True,True,True,True
nafasjan903269,True,True,True,True
Persia325,True,False,True,True
Farhad182955041,True,False,True,False
SFarokhy98658,True,False,True,True
alasht_Iran,True,True,True,False
Shaloomi2581,True,False,True,False
mihanam_ir,True,False,True,False
keywarzan,True,False,True,False
koli422537,True,False,True,False
DeepLedZepp,True,False,True,False
INJUSTICESgod,True,False,True,False
tb8685729550661,True,False,True,False
irandokht_20,True,True,True,True
Mitrathird,True,False,True,False
BehnoushSoltan2,True,False,True,False
LeoBibak,True,False,True,False
CallMeIran01,True,False,True,False
Pahlavi433726,True,True,True,False
DanialArvand,True,False,True,False
Iran7888,True,False,True,False
Ava_e_rahaee,True,True,True,False
freeiran_24,True,False,True,False
Phoenix347869,True,False,True,False
ESFANDYARAN2,True,False,True,False
alijantaba23417,True,False,True,False
vatanamiran98,True,False,True,False
JavadDriver,True,False,True,False
RezaS49,True,True,True,False
tanhayektiger,True,True,True,True
Gershasp7,True,False,True,False
reptile_fight,True,True,True,False
